model,reference_judgment,ai_judgment,samples,accuracy,share_within_reference
Kimi-K2-Thinking,can_pass,can_pass,26,1.0,0.6190476190476191
Kimi-K2-Thinking,can_pass,cannot_pass,3,0.0,0.07142857142857142
Kimi-K2-Thinking,can_pass,uncertain,13,0.0,0.30952380952380953
Kimi-K2-Thinking,cannot_pass,cannot_pass,106,1.0,0.9636363636363636
Kimi-K2-Thinking,cannot_pass,uncertain,4,0.0,0.03636363636363636
claude-opus-4-6,can_pass,can_pass,176,1.0,0.26952526799387444
claude-opus-4-6,can_pass,cannot_pass,382,0.0,0.5849923430321593
claude-opus-4-6,can_pass,uncertain,95,0.0,0.14548238897396631
claude-opus-4-6,cannot_pass,cannot_pass,587,1.0,0.9392
claude-opus-4-6,cannot_pass,uncertain,38,0.0,0.0608
claude-sonnet-4-6-thinking,can_pass,can_pass,95,1.0,0.1448170731707317
claude-sonnet-4-6-thinking,can_pass,cannot_pass,56,0.0,0.08536585365853659
claude-sonnet-4-6-thinking,can_pass,uncertain,505,0.0,0.7698170731707317
claude-sonnet-4-6-thinking,cannot_pass,cannot_pass,297,1.0,0.4752
claude-sonnet-4-6-thinking,cannot_pass,uncertain,328,0.0,0.5248
deepseek-v4-pro,can_pass,can_pass,53,1.0,0.7681159420289855
deepseek-v4-pro,can_pass,cannot_pass,4,0.0,0.057971014492753624
deepseek-v4-pro,can_pass,uncertain,12,0.0,0.17391304347826086
deepseek-v4-pro,cannot_pass,cannot_pass,74,1.0,0.4805194805194805
deepseek-v4-pro,cannot_pass,uncertain,80,0.0,0.5194805194805194
gemini-3-flash-preview,can_pass,can_pass,130,1.0,0.19431988041853512
gemini-3-flash-preview,can_pass,cannot_pass,46,0.0,0.0687593423019432
gemini-3-flash-preview,can_pass,uncertain,493,0.0,0.7369207772795217
gemini-3-flash-preview,cannot_pass,cannot_pass,183,1.0,0.27685325264750377
gemini-3-flash-preview,cannot_pass,uncertain,478,0.0,0.7231467473524962
gpt-4o,can_pass,can_pass,158,1.0,0.14508723599632692
gpt-4o,can_pass,cannot_pass,600,0.0,0.5509641873278237
gpt-4o,can_pass,uncertain,331,0.0,0.3039485766758494
gpt-4o,cannot_pass,can_pass,16,0.0,0.017640573318632856
gpt-4o,cannot_pass,cannot_pass,574,1.0,0.6328555678059536
gpt-4o,cannot_pass,uncertain,317,0.0,0.34950385887541346
gpt-4o-mini,can_pass,can_pass,158,1.0,0.16826411075612355
gpt-4o-mini,can_pass,cannot_pass,691,0.0,0.7358892438764644
gpt-4o-mini,can_pass,uncertain,90,0.0,0.09584664536741214
gpt-4o-mini,cannot_pass,can_pass,5,0.0,0.005807200929152149
gpt-4o-mini,cannot_pass,cannot_pass,841,1.0,0.9767711962833914
gpt-4o-mini,cannot_pass,uncertain,15,0.0,0.017421602787456445
gpt-5.5,can_pass,can_pass,136,1.0,0.2054380664652568
gpt-5.5,can_pass,cannot_pass,183,0.0,0.2764350453172205
gpt-5.5,can_pass,uncertain,343,0.0,0.5181268882175226
gpt-5.5,cannot_pass,cannot_pass,538,1.0,0.8188736681887366
gpt-5.5,cannot_pass,uncertain,119,0.0,0.1811263318112633
grok-4,can_pass,can_pass,218,1.0,0.3688663282571912
grok-4,can_pass,cannot_pass,254,0.0,0.42978003384094754
grok-4,can_pass,uncertain,119,0.0,0.20135363790186125
grok-4,cannot_pass,can_pass,30,0.0,0.04878048780487805
grok-4,cannot_pass,cannot_pass,470,1.0,0.7642276422764228
grok-4,cannot_pass,uncertain,115,0.0,0.18699186991869918
