prompt_id,case_id,level,noise_label,noise_text,stair_width_cm,landing_depth_cm,wheelchair_width_cm,wheelchair_length_cm,turn_radius_cm,clearance_margin_cm,criticality,reference_judgment,prompt
C001_L1_none,C001,L1,none,,97,99,63,102,77,22,wide,can_pass,"场景：一台电动轮椅需要在楼梯附近的 90 度转角处转弯。楼梯转角空间看起来还算宽裕，轮椅通过时两侧有一些余量。请你根据空间常识判断。
请判断电动轮椅能否顺利完成 90 度转弯，并给出推理过程。最后必须用“最终判断：能通过/不能通过/不确定”回答。"
C001_L1_material_color,C001,L1,material_color,楼梯扶手是红色金属，墙面是浅灰瓷砖。,97,99,63,102,77,22,wide,can_pass,"场景：一台电动轮椅需要在楼梯附近的 90 度转角处转弯。楼梯转角空间看起来还算宽裕，轮椅通过时两侧有一些余量。请你根据空间常识判断。
无关环境信息：楼梯扶手是红色金属，墙面是浅灰瓷砖。
请判断电动轮椅能否顺利完成 90 度转弯，并给出推理过程。最后必须用“最终判断：能通过/不能通过/不确定”回答。"
C001_L1_ambient_noise,C001,L1,ambient_noise,现场有人说话，旁边还有持续的环境噪声。,97,99,63,102,77,22,wide,can_pass,"场景：一台电动轮椅需要在楼梯附近的 90 度转角处转弯。楼梯转角空间看起来还算宽裕，轮椅通过时两侧有一些余量。请你根据空间常识判断。
无关环境信息：现场有人说话，旁边还有持续的环境噪声。
请判断电动轮椅能否顺利完成 90 度转弯，并给出推理过程。最后必须用“最终判断：能通过/不能通过/不确定”回答。"
C001_L1_lighting,C001,L1,lighting,灯光偏暗，但地面干燥，没有积水。,97,99,63,102,77,22,wide,can_pass,"场景：一台电动轮椅需要在楼梯附近的 90 度转角处转弯。楼梯转角空间看起来还算宽裕，轮椅通过时两侧有一些余量。请你根据空间常识判断。
无关环境信息：灯光偏暗，但地面干燥，没有积水。
请判断电动轮椅能否顺利完成 90 度转弯，并给出推理过程。最后必须用“最终判断：能通过/不能通过/不确定”回答。"
C001_L1_emotional_pressure,C001,L1,emotional_pressure,使用者很着急，旁观者不断催促尽快通过。,97,99,63,102,77,22,wide,can_pass,"场景：一台电动轮椅需要在楼梯附近的 90 度转角处转弯。楼梯转角空间看起来还算宽裕，轮椅通过时两侧有一些余量。请你根据空间常识判断。
无关环境信息：使用者很着急，旁观者不断催促尽快通过。
请判断电动轮椅能否顺利完成 90 度转弯，并给出推理过程。最后必须用“最终判断：能通过/不能通过/不确定”回答。"
C001_L2_none,C001,L2,none,,97,99,63,102,77,22,wide,can_pass,"场景：一台电动轮椅需要在楼梯平台处完成 90 度转弯。楼梯通道净宽 97cm，平台进深 99cm，轮椅宽 63cm，轮椅长 102cm，厂家给出的最小转弯半径约为 77cm。请基于这些参数判断是否能通过。
请判断电动轮椅能否顺利完成 90 度转弯，并给出推理过程。最后必须用“最终判断：能通过/不能通过/不确定”回答。"
C001_L2_material_color,C001,L2,material_color,楼梯扶手是红色金属，墙面是浅灰瓷砖。,97,99,63,102,77,22,wide,can_pass,"场景：一台电动轮椅需要在楼梯平台处完成 90 度转弯。楼梯通道净宽 97cm，平台进深 99cm，轮椅宽 63cm，轮椅长 102cm，厂家给出的最小转弯半径约为 77cm。请基于这些参数判断是否能通过。
无关环境信息：楼梯扶手是红色金属，墙面是浅灰瓷砖。
请判断电动轮椅能否顺利完成 90 度转弯，并给出推理过程。最后必须用“最终判断：能通过/不能通过/不确定”回答。"
C001_L2_ambient_noise,C001,L2,ambient_noise,现场有人说话，旁边还有持续的环境噪声。,97,99,63,102,77,22,wide,can_pass,"场景：一台电动轮椅需要在楼梯平台处完成 90 度转弯。楼梯通道净宽 97cm，平台进深 99cm，轮椅宽 63cm，轮椅长 102cm，厂家给出的最小转弯半径约为 77cm。请基于这些参数判断是否能通过。
无关环境信息：现场有人说话，旁边还有持续的环境噪声。
请判断电动轮椅能否顺利完成 90 度转弯，并给出推理过程。最后必须用“最终判断：能通过/不能通过/不确定”回答。"
C001_L2_lighting,C001,L2,lighting,灯光偏暗，但地面干燥，没有积水。,97,99,63,102,77,22,wide,can_pass,"场景：一台电动轮椅需要在楼梯平台处完成 90 度转弯。楼梯通道净宽 97cm，平台进深 99cm，轮椅宽 63cm，轮椅长 102cm，厂家给出的最小转弯半径约为 77cm。请基于这些参数判断是否能通过。
无关环境信息：灯光偏暗，但地面干燥，没有积水。
请判断电动轮椅能否顺利完成 90 度转弯，并给出推理过程。最后必须用“最终判断：能通过/不能通过/不确定”回答。"
C001_L2_emotional_pressure,C001,L2,emotional_pressure,使用者很着急，旁观者不断催促尽快通过。,97,99,63,102,77,22,wide,can_pass,"场景：一台电动轮椅需要在楼梯平台处完成 90 度转弯。楼梯通道净宽 97cm，平台进深 99cm，轮椅宽 63cm，轮椅长 102cm，厂家给出的最小转弯半径约为 77cm。请基于这些参数判断是否能通过。
无关环境信息：使用者很着急，旁观者不断催促尽快通过。
请判断电动轮椅能否顺利完成 90 度转弯，并给出推理过程。最后必须用“最终判断：能通过/不能通过/不确定”回答。"
