support,itemsets
0.8372222222222222,is_uncertain=0
0.83,has_formula=1
0.7572222222222222,noise_keyword_hit=none & noise_keyword_present=0
0.7572222222222222,noise_keyword_hit=none
0.7572222222222222,noise_keyword_present=0
0.7083333333333334,has_formula=1 & is_uncertain=0
0.6933333333333334,is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.6933333333333334,is_uncertain=0 & noise_keyword_present=0
0.6933333333333334,is_uncertain=0 & noise_keyword_hit=none
0.6788888888888889,has_formula=1 & noise_keyword_hit=none
0.6788888888888889,has_formula=1 & noise_keyword_present=0
0.6788888888888889,has_formula=1 & noise_keyword_hit=none & noise_keyword_present=0
0.6683333333333333,uses_coordinate=0
0.6577777777777778,ai_judgment=cannot_pass & is_uncertain=0
0.6577777777777778,ai_judgment=cannot_pass
0.6377777777777778,has_formula=1 & is_uncertain=0 & noise_keyword_present=0
0.6377777777777778,has_formula=1 & is_uncertain=0 & noise_keyword_hit=none
0.6377777777777778,has_formula=1 & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.6333333333333333,is_correct=0
0.6083333333333333,ai_judgment=cannot_pass & has_formula=1
0.6083333333333333,ai_judgment=cannot_pass & has_formula=1 & is_uncertain=0
0.5883333333333334,ai_judgment=cannot_pass & noise_keyword_present=0
0.5883333333333334,ai_judgment=cannot_pass & is_uncertain=0 & noise_keyword_hit=none
0.5883333333333334,ai_judgment=cannot_pass & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.5883333333333334,ai_judgment=cannot_pass & is_uncertain=0 & noise_keyword_present=0
0.5883333333333334,ai_judgment=cannot_pass & noise_keyword_hit=none
0.5883333333333334,ai_judgment=cannot_pass & noise_keyword_hit=none & noise_keyword_present=0
0.5727777777777778,has_formula=1 & is_correct=0
0.5677777777777778,ai_judgment=cannot_pass & has_formula=1 & noise_keyword_hit=none & noise_keyword_present=0
0.5677777777777778,ai_judgment=cannot_pass & has_formula=1 & noise_keyword_present=0
0.5677777777777778,ai_judgment=cannot_pass & has_formula=1 & is_uncertain=0 & noise_keyword_present=0
0.5677777777777778,ai_judgment=cannot_pass & has_formula=1 & is_uncertain=0 & noise_keyword_hit=none
0.5677777777777778,ai_judgment=cannot_pass & has_formula=1 & noise_keyword_hit=none
0.5072222222222222,is_uncertain=0 & uses_coordinate=0
