model,transition_type,path,groups,l1_accuracy,l2_accuracy,l3_accuracy,share_within_model
claude-opus-4-6,stable_or_recovered_correct,cannot_pass->cannot_pass->cannot_pass,142,1.0,1.0,1.0,0.4045584045584046
claude-opus-4-6,mathematical_collapse,can_pass->cannot_pass->cannot_pass,110,1.0,0.0,0.0,0.31339031339031337
claude-opus-4-6,mixed_instability,uncertain->cannot_pass->cannot_pass,58,0.0,0.0,0.0,0.16524216524216523
claude-opus-4-6,mathematical_improvement,uncertain->cannot_pass->cannot_pass,26,0.0,1.0,1.0,0.07407407407407407
claude-opus-4-6,stable_or_recovered_correct,can_pass->cannot_pass->can_pass,12,1.0,0.0,1.0,0.03418803418803419
claude-opus-4-6,mathematical_improvement,uncertain->cannot_pass->can_pass,3,0.0,0.0,1.0,0.008547008547008548
claude-sonnet-4-6-thinking,stable_wrong_or_uncertain,uncertain->uncertain->uncertain,111,0.0,0.0,0.0,0.3126760563380282
claude-sonnet-4-6-thinking,mixed_instability,uncertain->cannot_pass->uncertain,74,0.0,0.5675675675675675,0.0,0.2084507042253521
claude-sonnet-4-6-thinking,mathematical_collapse,can_pass->uncertain->uncertain,50,1.0,0.0,0.0,0.14084507042253522
claude-sonnet-4-6-thinking,mathematical_collapse,cannot_pass->cannot_pass->uncertain,50,1.0,1.0,0.0,0.14084507042253522
claude-sonnet-4-6-thinking,mathematical_collapse,cannot_pass->uncertain->uncertain,39,1.0,0.0,0.0,0.10985915492957747
claude-sonnet-4-6-thinking,mathematical_collapse,can_pass->cannot_pass->uncertain,16,1.0,0.0,0.0,0.04507042253521127
claude-sonnet-4-6-thinking,stable_or_recovered_correct,cannot_pass->cannot_pass->cannot_pass,8,1.0,1.0,1.0,0.022535211267605635
claude-sonnet-4-6-thinking,mathematical_improvement,uncertain->cannot_pass->cannot_pass,6,0.0,1.0,1.0,0.016901408450704224
claude-sonnet-4-6-thinking,stable_or_recovered_correct,can_pass->cannot_pass->can_pass,1,1.0,0.0,1.0,0.0028169014084507044
deepseek-v4-pro,mathematical_collapse,can_pass->cannot_pass->cannot_pass,1,1.0,0.0,0.0,1.0
gemini-3-flash-preview,stable_wrong_or_uncertain,uncertain->uncertain->uncertain,240,0.0,0.0,0.0,0.6153846153846154
gemini-3-flash-preview,mathematical_collapse,can_pass->uncertain->uncertain,55,1.0,0.0,0.0,0.14102564102564102
gemini-3-flash-preview,stable_or_recovered_correct,cannot_pass->cannot_pass->cannot_pass,26,1.0,1.0,1.0,0.06666666666666667
gemini-3-flash-preview,stable_or_recovered_correct,can_pass->cannot_pass->can_pass,21,1.0,0.0,1.0,0.05384615384615385
gemini-3-flash-preview,mathematical_improvement,uncertain->cannot_pass->cannot_pass,18,0.0,1.0,1.0,0.046153846153846156
gemini-3-flash-preview,mixed_instability,uncertain->cannot_pass->uncertain,14,0.0,1.0,0.0,0.035897435897435895
gemini-3-flash-preview,mathematical_collapse,can_pass->cannot_pass->cannot_pass,8,1.0,0.0,0.0,0.020512820512820513
gemini-3-flash-preview,mathematical_collapse,cannot_pass->cannot_pass->uncertain,4,1.0,1.0,0.0,0.010256410256410256
gemini-3-flash-preview,mathematical_collapse,can_pass->cannot_pass->uncertain,3,1.0,0.0,0.0,0.007692307692307693
