model,case_id,noise_label,repeat,level_consistency,all_levels_same,l1_judgment,l2_judgment,l3_judgment
gpt-4o,C001,ambient_noise,0,0.3333333333333333,False,can_pass,uncertain,can_pass
gpt-4o,C001,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C001,ambient_noise,2,0.3333333333333333,False,uncertain,uncertain,cannot_pass
gpt-4o,C001,emotional_pressure,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C001,emotional_pressure,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C001,emotional_pressure,2,0.3333333333333333,False,can_pass,can_pass,cannot_pass
gpt-4o,C001,lighting,0,0.0,False,can_pass,cannot_pass,uncertain
gpt-4o,C001,lighting,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C001,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C001,material_color,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C001,material_color,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C001,material_color,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C001,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C001,none,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C001,none,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C002,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,ambient_noise,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,emotional_pressure,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,lighting,0,1.0,True,cannot_pass,cannot_pass,cannot_pass
gpt-4o,C002,lighting,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,lighting,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,material_color,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C002,none,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
